id,中文,en-US
920016suggest,"建议对响应包中出现匹配(?:^|[^\d])(?<!google_ad_client = \"pub-)(6(?:011|5\d{2})\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{4})(?:[^\d]|$)正则表达式的应答进行限制。（Discover）","It is advisable to match (?: ^ | [^ \ D]) (? <! Google_ad_client = \ pub -) (6 (?: 011 | 5 \ d {2}) \ -? \ D {4} \ -? \ d {2} \ -? \ d {2} \ -? \ d {4}) (?: [^ \ d] | $) Restrictions on regular expressions"
920017name,根据用户输入数据（日志及审查），检测已知信用卡类型（JCB信用卡号）（CC_Known),"Credit card type Detected"
920017desc,从用户输入数据检测到JCB信用卡号，记录日志（CC_Known),"Detect the JCB credit card number from the user-input data and record the log (CC_Known)"
920017harm_desc,"如果发生银行卡卡号密码盗窃行为，会存在GSA SmartPay,MasterCard,Visa,American Express,Diner Club,Discover,JCB等信用卡卡号信息的输入处理，如果攻击者窃取了这些数据是非常的危险的，甚至会利用一系列信息进行欺诈。","In case of bank card number theft, GSA SmartPay, MasterCard, Visa, American Express, Diner Club, Discover, JCB and other credit card number information input processing, if the attacker stole the data is very dangerous, or even Use a series of messages to cheat."
920017suggest,"建议对请求包参数中带有匹配(?:^|[^\d])(3\d{3}\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{4}|(?:1800|21(?:31|00))\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{3})(?:[^\d]|$)正则表达式的请求谨慎处理。（JCB信用卡号码）","It is advisable to match the request packet parameter with a match (?: ^ | [^ \ D]) (3 \ d {3} \ -? \ D {4} \ -? \ D {2} \ -? \ D {2 \ -? \ d {4} \ -? \ d {2} \ -? \ d {2} \ - ? \ d {3}) (?: [^ \ d] | $) Regex requests are processed"
920018name,根据用户输出数据（响应体及响应头），检测已知信用卡类型（JCB信用卡号）（CC_Known),"Credit card type Detected"
920018desc,从网页到用户的输出数据检测到JCB信用卡号，记录日志（CC_Known),"Detect the JCB credit card number from the output data from web page to user and record the log (CC_Known)"
920018harm_desc,响应头和响应体中带有JCB信用卡的号码，攻击者企图在服务器上窃取该信用卡相关资料。,"In response to a number with an JCB card in the header and responder, the attacker attempted to steal the credit card-related information on the server."
920018suggest,"建议对响应包中出现匹配(?:^|[^\d])(?<!google_ad_client = \"pub-)(3\d{3}\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{4}|(?:1800|21(?:31|00))\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{3})(?:[^\d]|$)正则表达式的应答进行限制。（JCB）","It is recommended to match (?: ^ | [^ \ D]) (? <! Google_ad_client = \ pub -) (3 \ d {3} \ -? \ D {4} \ -? \ D {2 \ -? \ d {2} \ -? \ d {4} | (?: 1800 | 21 (?: 31 | 00)) \ -? \ d {4} \ -? \ d {2} \ - ? \ d {2} \ -? \ d {3}) (?: [^ \ d] | $) Restrictions on regular expressions"
920019name,"根据用户输入数据（日志及审查），检测已知信用卡类型（GSA SmartPay信用卡号）（CC_Known)","Credit card type Detected"
920019desc,"从用户输入数据检测到GSA SmartPay信用卡号，记录日志（CC_Known)","Detect the GSA SmartPay credit card number from the user-input data and record the log (CC_Known)"
920019harm_desc,"如果发生银行卡卡号密码盗窃行为，会存在GSA SmartPay,MasterCard,Visa,American Express,Diner Club,Discover,JCB等信用卡卡号信息的输入处理，如果攻击者窃取了这些数据是非常的危险的，甚至会利用一系列信息进行欺诈。","In case of bank card number theft, GSA SmartPay, MasterCard, Visa, American Express, Diner Club, Discover, JCB and other credit card number information input processing, if the attacker stole the data is very dangerous, or even Use a series of messages to cheat."
920019suggest,"建议对请求包参数中带有匹配(?:^|[^\d])((?:5568|4(?:486|716))\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{4}|8699\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{3})(?:[^\d]|$)正则表达式的请求谨慎处理。（GSA SmartPay信用卡号码）","It is recommended that you have a match (?: ^ | [^ \ d]) (?: 5568 | 4 (?: 486 | 716)) in the request packet parameters \\? \ D {4} \ -? \ D {2 } \ -? \ d {2} \ -? \ d {4} | 8699 \ -? \ d {4} \ -? \ d {2} \ -? \ d {2} \ -? \ d {3 }) (?: [^ \ d] | $) Regex requests are processed"
920020name,"根据用户输出数据（响应体及响应头），检测已知信用卡类型（GSA SmartPay信用卡号）（CC_Known)","Credit card type Detected"
920020desc,"从网页到用户的输出数据检测到GSA SmartPay信用卡号，记录日志（CC_Known)","Detect the GSA SmartPay credit card number from the output data from web page to user and record the log (CC_Known)"
920020harm_desc,"响应头和响应体中带有GSA SmartPay信用卡的号码，攻击者企图在服务器上窃取该信用卡相关资料。","In response to the number of the GSA SmartPay credit card in the header and responder, the attacker attempted to steal the credit card-related information on the server."
920020suggest,"建议对响应包中出现匹配(?:^|[^\d])(?<!google_ad_client = \"pub-)((?:5568|4(?:486|716))\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{4}|8699\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{3})(?:[^\d]|$)正则表达式的应答进行限制。（GSA SmartPay）","It is recommended to match (?: ^ | [^ \ d]) (? <! Google_ad_client = \ pub -) (?: 5568 | 4 (?: 486 | 716)) \ -? \ D {4 } \ -? \ d {2} \ -? \ d {2} \ -? \ d {4} | 8699 \ -? \ d {4} \ -? \ d {2} \ -? \ d {2 } \ -? \ d {3}) (?: [^ \ d] | $) Restrictions on regular expressions"
920021name,"检测信用卡轨迹数据1是否泄漏（CC Track Pan）","Possible Credit Card Track 1 Data Leakage."
920021desc,从响应体中检测到信用卡轨迹数据1发生泄漏，则阻断（CC_Track_Pan）,"If a leak is detected in the credit card trajectory data 1 from the response body, block the request (CC_Track_Pan)"
920021harm_desc,攻击者可对信用卡的数据进行追踪，如果攻击者窃取了这些数据是非常的危险的，甚至会利用一系列信息进行欺诈。,"Attackers can track credit card data, and if attackers steal the data it is very dangerous, and even use a series of information to cheat."
920021suggest,"建议对含有匹配\%[Bb][3456][0-9]{3,3}[\x20\-]{0,3}[0-9]{4,6}[\x20\-]{0,3}[0-9]{2,5}[\x20\-]{0,3}[0-9]{0,4}\^[^\^]+\^[0-9]+\?正则表达式的响应包进行限制。","It is advisable to have a match for% \ [Bb] [3456] [0-9] {3,3} [\ x20 \] {0,3} [0-9] {4,6} [\ x20 \ -] { 0,3} [0-9] {2,5} [\ x20 \ -] {0,3} [0-9] {0,4} \ ^ [^ \ ^] + \ ^ [0-9] + \? Regular expression response package restrictions."
920022name,"检测信用卡轨迹数据2是否泄漏（CC Track Pan）","Possible Credit Card Track 2 Data Leakage."
920022desc,从响应体中检测到信用卡轨迹数据2发生泄漏，则阻断（CC_Track_Pan）,"If a leak is detected in the credit card trajectory data 2 from the response body, block the request (CC_Track_Pan)"
920022harm_desc,攻击者可对信用卡的数据进行追踪，如果攻击者窃取了这些数据是非常的危险的，甚至会利用一系列信息进行欺诈。,"Attackers can track credit card data, and if attackers steal the data it is very dangerous, and even use a series of information to cheat."
920022suggest,"建议对含有匹配\;[3456][0-9]{3,3}[\x20\-]{0,3}[0-9]{4,6}[\x20\-]{0,3}[0-9]{2,5}[\x20\-]{0,3}[0-9]{0,4}[=Dd][0-9]+\?正则表达式的响应包进行限制。","It is advisable to have a match on a match containing \; [3456] [0-9] {3,3} [\ x20 \] {0,3} [0-9] {4,6} [\ x20 \ -] {0,3 } [0-9] {2,5} [\ x20 \ -] {0,3} [0-9] {0,4} [= Dd] [0-9] + \? Regular Expression Response Package Limitations."
920023name,"检测信用卡PAN数据是否泄漏（CC Track Pan）","Possible Credit Card PAN Data Leakage."
920023desc,从响应体中检测到信用卡PAN数据发生泄漏，则阻断（CC_Track_Pan）,"If a leak is detected in the credit card PAN data from the response body, block the request (CC_Track_Pan)"
920023harm_desc,攻击者可对信用卡的数据进行追踪，如果攻击者窃取了这些数据是非常的危险的，甚至会利用一系列信息进行欺诈。,"Attackers can track credit card data, and if attackers steal the data it is very dangerous, and even use a series of information to cheat."
920023suggest,"建议对含有匹配[^0-9][3456][0-9]{3,3}[\x20\-]{0,3}[0-9]{4,6}[\x20\-]{0,3}[0-9]{2,5}[\x20\-]{0,3}[0-9]{0,4}[^0-9]正则表达式的响应包进行限制。","It is recommended that you have a match for [^ 0-9] [3456] [0-9] {3,3} [\ x20 \ -] {0,3} [0-9] {4,6} [\ x20 \ -] {0,3} [0-9] {2,5} [\ x20 \ -] {0,3} [0-9] {0,4} [^ 0-9] Regular Expression Response Packs Limited ."
950000name,"SESSION加固(OWASP TOP 10)","Session Fixation(OWASP TOP 10)"
950000desc,"检测可能的SESSION加固攻击，当来源为空时通过在http请求中检测jsessionid aspsessionid asp.net_sessionid phpsession phpsessid weblogicsession session_id session-id cfid cftoken cfsid jservsession jwsession等来实现","Detect possible SESSION fixation attacks. When the source is empty, it is implemented by detecting jsessionid, aspsessionid, asp.net_sessionid, phpsession, phpsessid, weblogicsession, session_id, session-id, cfid, cftoken, cfsid, jservsession, jwsession and etc in http request"
